gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,isabella.gagne@example.com,Z37 Q31-7572,O52 H98-0061,CA,Miss,Isabella,Gagné,8689,Park Rd,Stratford,Saskatchewan,Canada,P0E 4K7,-72.1444,46.1995,-2:00,Mid-Atlantic,8545dadd-cbb0-425f-8cae-38f85f5ca61c,tinyduck577,pelican,SUciu0YX,810741c6c3e8cf28dc83e6047ebfc187,f1976afde6ee2a87f96fd6bafdac028b11c36e30,e338eb6e17494af8a22a0aaf38fed82042529a33d57c245b775c199c8a67adf9,2001-02-21T12:27:43.736Z,24,2012-10-18T02:23:52.685Z,13,SIN,385383005,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg
female,guta.peixoto@example.com,(34) 3694-6817,(66) 1161-5311,BR,Miss,Guta,Peixoto,4439,Rua Bela Vista ,Votorantim,Roraima,Brazil,93828,5.3494,100.8659,+11:00,"Magadan, Solomon Islands, New Caledonia",49844fd0-0a28-46a5-8b50-59610b88c351,silverbear327,colton,lpKTlqeM,27f146148fbc02eda5342afd727301b3,505d8423e6fe752eb9a21894a54697e6e3306b42,4c24963d92f45333d99751dc3fb75afcd4230fdc935169329592aa2ccd248857,2000-11-15T22:02:49.926Z,24,2014-12-19T01:42:51.152Z,10,CPF,130.168.914-91,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg
male,lineu.darosa@example.com,(40) 2735-1960,(60) 4276-1919,BR,Mr,Lineu,da Rosa,8649,Rua Primeiro de Maio ,Palmas,Rio de Janeiro,Brazil,67306,-48.4383,128.2460,-10:00,Hawaii,f75bffd4-2280-4a01-be0a-53898aa86a3b,brownzebra193,mang,2qI7uGDf,254664d111cbf187363c6d8beacad8a7,4a54f33b15ef7571a14efd08f9a06f5ba6bab380,b6979b0e18ea9add29f6fd0774fa1e8f529bcc031fd42b0498313f89c2bad05a,1997-05-21T04:47:18.240Z,28,2007-05-15T12:00:56.056Z,18,CPF,683.135.514-11,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg
male,romain.meyer@example.com,04-08-83-90-79,06-72-88-62-28,FR,Mr,Romain,Meyer,5531,Rue de L'Abbé-Roger-Derry,Saint-Denis,Bas-Rhin,France,22242,88.6766,-31.7498,+6:00,"Almaty, Dhaka, Colombo",5c103bc2-f760-4e85-9e9c-8f74dc19639c,sadgoose531,pool6123,KpeKrQZf,8af6e53287d4e53defe7d22aeff4c95f,57d5cb72f92fe12da235b811e38f92a0ac8a7924,a434125a278b95958892ea08b0b70d5bbcaea9c10fe45bb5d35792488e8e2294,1944-12-22T19:22:50.369Z,80,2006-08-31T13:33:14.995Z,19,INSEE,1441113592242 84,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg
female,kathi.dufour@example.com,079 256 93 12,077 706 46 93,CH,Madame,Käthi,Dufour,555,Rue Abel-Ferry,Rances,Luzern,Switzerland,8863,-21.2956,30.8917,+3:30,Tehran,c77dd68c-dec4-4d86-9610-991276c1f6b4,crazygorilla731,harold,ay5tptPR,7e42b56bb03302574f83ec95e0844b9c,b33e275e82abd373e09b34a278f129b021a86b73,3d867a19ba77f25ecb05b904ab1f538831ab8300c0b7a6cc52606956c12048f6,1990-06-27T20:03:26.565Z,35,2006-11-22T07:03:45.526Z,18,AVS,756.7673.4264.95,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg
female,yuhimiya.verbickiy@example.com,(066) N61-8155,(099) L02-0323,UA,Ms,Yuhimiya,Verbickiy,7612,Hvilovogo,Dolina,Poltavska,Ukraine,21999,86.7868,-20.1803,-12:00,"Eniwetok, Kwajalein",2fde249b-3419-43c0-8fa9-665af7bd2caa,heavybird703,fick,hOY3mZ1F,b97fa40132731b55bf34a4bbcb0bf7f0,01a65089789401eb624e9edaf6988e6852f5d1d7,75a4cce41c9045ff8bce895ccd13e76ce1336cf88b8cb54ff2f9f9ebe608e6ae,1994-01-06T07:10:10.822Z,31,2020-06-26T07:49:58.092Z,5,,,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg
female,hsty.ysmy@example.com,050-70534899,0968-051-1410,IR,Mrs,هستی,یاسمی,3401,دکتر لواسانی,اراک,ایلام,Iran,72541,-62.7575,-136.8567,-8:00,Pacific Time (US & Canada),a2952125-02ad-4f27-b217-951d89aad48f,sadfish385,redfish,JfNghsTg,66b4b61426d05ef066e00cb5355653e5,bb7d22279d8bce629439025dfeb0001a57514c8a,883f1a2aa944061b9197204ea3191b0c8634e52f22c12baab53af30d40cc6ec6,1985-02-16T15:24:28.742Z,40,2009-08-12T11:34:41.155Z,16,,,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg
male,alexander.madsen@example.com,21020974,68812974,DK,Mr,Alexander,Madsen,7608,Frederikssundsvej,Lundby,Sjælland,Denmark,78139,-31.8937,7.3062,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",7193f1e4-2614-4c59-af90-9063ba2f1fad,organicdog284,atomic,F5IIGeIG,e5d5646d734245f26cdd52ff43b9d0cd,33f7ad4e5c42b4964168d7883293c5f6d1c236a5,ef184fe5f71dcc160d037ee8413caa570013ed02b7182e545c19f3ec2ca7affb,1950-04-28T20:33:46.695Z,75,2003-01-27T19:22:29.592Z,22,CPR,280450-5628,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg
male,gerald.snyder@example.com,(821) 260-4670,(531) 565-3175,US,Mr,Gerald,Snyder,4138,Locust Rd,Eureka,South Dakota,United States,58614,-34.4532,-114.3214,-12:00,"Eniwetok, Kwajalein",68827126-4dac-489d-9294-194bd1bb5703,tinytiger314,gofish,q6cShhlq,95b1d4323c697d34f62ddbb7c5cc5b28,e65fa878a604290829c8652709131e505d42bfa1,7bf868cdadc18df0dabdf8ed8efe12ef7dbefa6d976d196518ab6eeea41cd425,1944-12-21T06:46:39.070Z,80,2004-04-08T08:20:27.442Z,21,SSN,180-90-2050,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg
female,isabelle.henry@example.com,015242 27144,07623 149675,GB,Ms,Isabelle,Henry,6054,Park Lane,Belfast,Lancashire,United Kingdom,RR9V 5BP,16.0404,86.9795,-8:00,Pacific Time (US & Canada),1ed5e1be-c4ec-4a33-a268-f43742a83f90,redduck384,smackdow,4mYCOs7v,476d0912eb02c0d6dbb656304c5c8ab0,f8c892b2cf643b8c47f8e114872135f7576cb549,3d6c7e6ab3cb9f223a7a13099f02cb957924ad660d06646faf6c2ad069734fde,1962-09-27T00:13:26.267Z,63,2005-10-12T09:13:40.729Z,20,NINO,XH 31 77 60 A,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg
